height,timestamp_secs,energy,gas,tx_count
19900245,1716076535,33617,7309624,96
19900246,1716076547,55175,10489992,122
19900247,1716076559,55280,27657220,115
19900248,1716076571,61281,12712885,157
19900249,1716076583,65426,11861337,96
19900250,1716076595,45945,17626179,110
19900251,1716076607,133185,10412616,105
19900252,1716076619,77290,14821668,180
19900253,1716076631,47592,10107825,148
19900254,1716076643,35659,23488674,105
19900255,1716076655,68224,15059190,151
19900256,1716076667,33449,6925910,58
19900257,1716076679,56379,29991900,175
19900258,1716076691,70592,12837183,147
19900259,1716076703,31466,4825087,64
19900260,1716076715,46677,25003270,94
19900261,1716076727,131216,29994702,91
19900262,1716076739,30043,5389170,57
19900263,1716076751,76762,14437934,206
19900264,1716076763,31608,6174281,80
19900265,1716076775,65977,12278939,137
19900266,1716076787,47975,25714447,107
19900267,1716076799,10560,1865866,44
19900268,1716076811,43232,10338954,129
19900269,1716076823,79562,29992849,138
19900270,1716076835,127258,18299361,262
19900271,1716076847,201772,20023940,190
19900272,1716076859,42246,8902987,89
19900273,1716076871,44213,9980255,137
19900274,1716076883,70579,14134512,175
19900275,1716076895,56897,11505830,151
19900276,1716076907,44452,29985773,108
19900277,1716076919,71921,15251756,153
19900278,1716076931,11365,2891046,45
19900279,1716076943,7965,1493666,34
19900280,1716076955,138558,29996470,733
19900281,1716076967,182753,23254571,203
19900282,1716076979,31588,6598272,96
19900283,1716076991,82823,17894358,211
19900284,1716077003,72168,15850488,141
19900285,1716077015,58000,12662303,157
19900286,1716077027,153161,12408324,146
19900287,1716077039,96589,15814436,235
19900288,1716077051,80634,16098907,143
19900289,1716077063,41809,22862674,88
19900290,1716077075,64797,13778680,143
19900291,1716077087,7074,1374864,29
19900292,1716077099,61059,29991447,41
19900293,1716077123,44039,7659352,126
19900294,1716077135,155688,29897907,455
19900295,1716077147,198627,22261419,237
19900296,1716077159,43536,8614271,106
19900297,1716077171,14855,3603722,44
19900298,1716077183,122171,20748917,262
19900299,1716077195,53383,10215160,122
19900300,1716077207,36579,7633423,97
19900301,1716077219,144816,29998764,877
19900302,1716077231,7326,1395528,9
19900303,1716077243,146703,29996842,972
19900304,1716077255,202358,19186651,156
19900305,1716077267,61925,7961026,73
19900306,1716077279,109659,26040102,249
19900307,1716077291,60617,12609715,144
19900308,1716077303,155286,15926422,104
19900309,1716077315,58841,10973564,120
19900310,1716077327,60702,10873539,114
19900311,1716077339,38797,7364603,154
19900312,1716077351,71789,14183263,202
19900313,1716077363,61403,11634592,166
19900314,1716077375,39886,29996432,77
19900315,1716077387,55241,11194102,117
19900316,1716077399,195056,15234724,139
19900317,1716077411,58508,11013421,111
19900318,1716077423,32284,7406967,91
19900319,1716077435,71788,29999822,214
19900320,1716077447,45768,11489335,113
19900321,1716077459,198028,18727694,182
19900322,1716077471,47205,9574943,122
19900323,1716077483,32762,6732132,94
19900324,1716077495,60520,29991510,314
19900325,1716077507,196305,17197776,188
19900326,1716077519,47321,9808949,93
19900327,1716077531,68345,12574329,162
19900328,1716077543,47659,11160168,138
19900329,1716077555,50057,29994138,84
19900330,1716077567,10712,2236301,44
19900331,1716077579,50243,10059216,129
19900332,1716077591,152476,29997832,885
19900333,1716077603,8674,1134758,20
19900334,1716077615,68312,29982759,272
19900335,1716077627,228940,23187304,218
19900336,1716077639,30030,5931711,83
19900337,1716077651,52991,12356530,136
19900338,1716077663,73038,14366608,122
19900339,1716077675,56130,11932274,124
19900340,1716077687,66737,13458685,177
19900341,1716077699,50554,29980710,68
19900342,1716077711,72438,15618344,184
19900343,1716077723,140580,10792479,110
19900344,1716077735,65827,12499948,178
19900345,1716077747,88336,20948236,172
19900346,1716077759,39964,9761273,124
19900347,1716077771,81504,16823635,196
19900348,1716077783,38634,9535781,105
19900349,1716077795,30872,6515637,108
19900350,1716077807,71968,29989451,75
19900351,1716077819,63560,12087718,206
19900352,1716077831,81919,17889712,170
19900353,1716077843,67935,13157977,142
19900354,1716077855,58090,12632586,134
19900355,1716077867,39723,8339669,125
19900356,1716077879,57782,29997017,84
19900357,1716077891,53968,11589804,160
19900358,1716077903,210940,18262494,201
19900359,1716077915,49253,10162706,122
19900360,1716077927,62945,13771284,121
19900361,1716077939,47434,9981931,114
19900362,1716077951,54012,29998352,105
19900363,1716077963,62975,13671826,125
19900364,1716077975,49505,11348946,113
19900365,1716077987,10044,1769972,26
19900366,1716077999,136588,29980843,721
19900367,1716078011,163520,19698675,208
19900368,1716078023,146213,12524305,121
19900369,1716078035,64839,14954260,161
19900370,1716078047,70859,13965975,184
19900371,1716078059,37419,29994854,107
19900372,1716078071,169106,11700612,113
19900373,1716078083,46449,8553917,106
19900374,1716078095,88292,17768896,151
19900375,1716078107,43576,11228089,95
19900376,1716078119,66468,11623908,108
19900377,1716078131,93468,18444912,283
19900378,1716078143,44822,7456380,96
19900379,1716078155,42851,7723801,151
19900380,1716078167,6517,1072030,19
19900381,1716078179,189894,29986642,534
19900382,1716078191,227711,29989242,547
19900383,1716078203,42281,8492369,82
19900384,1716078215,53188,27394751,130
19900385,1716078227,171484,19762752,195
19900386,1716078239,34068,7032733,83
19900387,1716078251,97623,18667212,138
19900388,1716078263,33284,6374684,83
19900389,1716078275,85366,13566060,202
19900390,1716078287,6610,1185865,7
19900391,1716078299,146442,29993864,658
19900392,1716078311,105462,18600784,238
19900393,1716078323,223831,19883226,171
19900394,1716078335,8560,1364697,20
19900395,1716078347,250223,29996774,202
19900396,1716078359,105854,19219740,165
19900397,1716078371,43425,29979759,76
19900398,1716078383,161305,9867042,102
19900399,1716078395,43988,8871094,102
19900400,1716078407,64099,11878630,124
19900401,1716078419,49516,10743971,143
19900402,1716078431,59825,11995537,150
19900403,1716078443,97937,16001777,242
19900404,1716078455,102941,18710773,437
19900405,1716078467,63048,12418271,339
19900406,1716078479,169539,16353073,415
19900407,1716078491,57337,11200433,170
19900408,1716078503,77475,15445846,195
19900409,1716078515,55675,9914336,120
19900410,1716078527,58689,14256733,135
19900411,1716078539,56829,13907210,134
19900412,1716078551,64297,26196122,186
19900413,1716078563,49543,29917976,127
19900414,1716078575,41346,8340110,120
19900415,1716078587,6252,1029064,21
19900416,1716078599,14485,3144993,52
19900417,1716078611,153451,29993780,552
19900418,1716078623,39195,29995787,134
19900419,1716078635,35046,8173428,106
19900420,1716078647,203015,18885238,169
19900421,1716078659,49229,8648290,93
19900422,1716078671,94413,17158140,143
19900423,1716078683,57135,13949894,111
19900424,1716078695,122584,29987744,78
19900425,1716078707,45084,29997795,96
19900426,1716078719,7386,1071738,25
19900427,1716078731,112460,23140722,258
19900428,1716078743,11570,2256560,38
19900429,1716078755,95446,18576737,170
19900430,1716078767,5817,1136319,25
19900431,1716078779,4699,821417,25
19900432,1716078791,141745,29993374,658
19900433,1716078803,5507,1092712,19
19900434,1716078815,87893,29983931,147
19900435,1716078827,227178,29985188,69
19900436,1716078839,81151,17622513,207
19900437,1716078851,68689,9928652,125
19900438,1716078863,40593,8717080,114
19900439,1716078875,81821,15010534,148
19900440,1716078887,45338,10539226,105
19900441,1716078899,177039,17758855,257
19900442,1716078911,69850,14380513,154
19900443,1716078923,6907,988153,18
19900444,1716078935,89977,29982963,248
19900445,1716078947,62166,14262285,148
19900446,1716078959,33506,7422203,101
19900447,1716078971,71611,13945466,152
19900448,1716078983,170966,29992067,119
19900449,1716078995,82415,13499168,134
19900450,1716079007,51649,10606819,109
19900451,1716079019,79985,15910586,198
19900452,1716079031,22259,4818496,98
19900453,1716079043,10241,2486779,17
19900454,1716079055,149445,29994244,686
19900455,1716079067,71830,29983948,126
19900456,1716079079,68803,15376741,136
19900457,1716079091,187481,16855287,188
19900458,1716079103,221316,29984190,74
19900459,1716079115,29830,7256784,71
19900460,1716079127,171308,26349487,128
19900461,1716079139,28200,7457763,80
19900462,1716079151,14489,2852997,52
19900463,1716079163,207235,29986040,51
19900464,1716079175,170491,20539863,205
19900465,1716079187,34536,6751607,100
19900466,1716079199,205742,29830207,107
19900467,1716079211,61850,12603939,160
19900468,1716079223,50934,10190021,95
19900469,1716079235,62771,10509959,138
19900470,1716079247,252287,29826393,174
19900471,1716079259,29550,7441427,81
19900472,1716079271,11334,2926260,47
19900473,1716079283,193352,29996254,180
19900474,1716079295,170139,17958548,175
19900475,1716079307,48192,8900277,112
19900476,1716079319,56185,12611779,149
19900477,1716079331,60760,13277910,125
19900478,1716079343,268714,29113415,119
19900479,1716079355,33977,8480107,88
19900480,1716079367,35620,8354539,105
19900481,1716079379,212751,29979584,112
19900482,1716079391,65739,13133840,159
19900483,1716079403,48651,9891068,117
19900484,1716079415,134566,12444454,121
19900485,1716079427,62703,11438489,132
19900486,1716079439,199529,27297762,109
19900487,1716079451,77101,14645631,161
19900488,1716079463,46241,9716353,106
19900489,1716079475,57689,9559802,108
19900490,1716079487,58042,10047881,102
19900491,1716079499,217232,29994100,122
19900492,1716079511,36528,8171184,92
19900493,1716079523,27888,6210587,80
19900494,1716079535,235954,29987765,32
19900495,1716079547,52147,10173430,134
19900496,1716079559,41027,9953468,93
19900497,1716079571,206468,28639826,117
19900498,1716079583,40021,8103803,83
19900499,1716079595,36371,8783780,92
19900500,1716079607,221125,29979366,73
19900501,1716079619,8803,1590585,39
19900502,1716079631,186738,29980796,240
19900503,1716079643,14118,2331432,43
19900504,1716079655,142073,29982614,143
19900505,1716079667,167754,16244260,228
19900506,1716079679,182818,14883558,139
19900507,1716079691,96315,19326487,187
19900508,1716079703,34193,7604818,93
19900509,1716079715,79071,14021456,159
19900510,1716079727,70887,14891927,134
19900511,1716079739,45050,8489295,84
19900512,1716079751,184704,27429744,188
19900513,1716079763,57795,10962496,125
19900514,1716079775,49915,9174652,97
19900515,1716079787,34672,6864488,85
19900516,1716079799,223839,29965105,93
19900517,1716079811,92302,17273637,165
19900518,1716079823,44155,7866384,89
19900519,1716079835,5169,1018372,25
19900520,1716079847,209246,29991319,134
19900521,1716079859,62045,15086397,140
19900522,1716079871,163222,11164101,105
19900523,1716079883,209620,29386703,121
19900524,1716079895,58766,10893927,106
19900525,1716079907,58219,10688291,103
19900526,1716079919,57830,12200940,113
19900527,1716079931,44995,10760711,124
19900528,1716079943,200172,29353338,103
19900529,1716079955,31484,6788265,71
19900530,1716079967,36467,6973498,75
19900531,1716079979,223895,29992273,74
19900532,1716079991,162450,17067245,112
19900533,1716080003,88029,18255280,170
19900534,1716080015,44006,7907022,83
19900535,1716080027,42482,9601625,98
19900536,1716080039,44280,11017492,117
19900537,1716080051,209735,29775802,151
19900538,1716080063,4521,684915,20
19900539,1716080075,223958,29983586,55
19900540,1716080087,184294,17782393,204
19900541,1716080099,49558,10575716,112
19900542,1716080111,47255,9216848,128
19900543,1716080123,44950,10503671,112
19900544,1716080135,210048,29806109,114
19900545,1716080147,44552,9010537,94
19900546,1716080159,67972,16073034,137
19900547,1716080171,9965,1827561,33
19900548,1716080183,256380,29991730,100
19900549,1716080195,68458,15241760,149
19900550,1716080207,44236,10064150,108
19900551,1716080219,51975,9975275,102
19900552,1716080231,127902,25807417,247
19900553,1716080243,51636,10848716,121
19900554,1716080255,72715,13401432,124
19900555,1716080267,60518,10555843,128
19900556,1716080279,209999,29987202,93
19900557,1716080291,161767,12639648,107
19900558,1716080303,55860,10357548,112
19900559,1716080315,48232,8850834,97
19900560,1716080327,223750,29996562,82
19900561,1716080339,46262,10342971,110
19900562,1716080351,63466,12965796,124
19900563,1716080363,50368,9826737,99
19900564,1716080375,50867,29988728,48
19900565,1716080387,56138,9823597,121
19900566,1716080399,45011,8948098,102
19900567,1716080411,227747,23334324,307
19900568,1716080423,43005,9071173,150
19900569,1716080435,61685,12043134,184
19900570,1716080447,49896,8774308,109
19900571,1716080459,222532,29973958,87
19900572,1716080471,77845,15433696,150
19900573,1716080483,126467,7520518,80
19900574,1716080495,113766,18712529,146
19900575,1716080507,53701,9298477,120
19900576,1716080519,213119,29328803,108
19900577,1716080531,75720,13867569,148
19900578,1716080543,51038,10602764,113
19900579,1716080555,61393,12836401,118
19900580,1716080567,168647,9263206,79
19900581,1716080579,225217,29998857,89
19900582,1716080591,146841,9426904,96
19900583,1716080603,46911,10058143,95
19900584,1716080615,36023,7576869,96
19900585,1716080627,8488,1592700,33
19900586,1716080639,187262,29994824,163
19900587,1716080651,228885,29997787,148
19900588,1716080663,89455,19094969,185
19900589,1716080675,84082,14971732,121
19900590,1716080687,58880,9032663,86
19900591,1716080699,66350,11264437,105
19900592,1716080711,240867,20211899,180
19900593,1716080735,79544,16791298,176
19900594,1716080747,57868,11689378,135
19900595,1716080759,45782,8262798,92
19900596,1716080771,186103,29268947,153
19900597,1716080783,49868,10394844,109
19900598,1716080795,49457,10972058,102
19900599,1716080807,169347,12806070,138
19900600,1716080819,52359,29859107,99
19900601,1716080831,50911,11396593,135
19900602,1716080843,43305,7785112,83
19900603,1716080855,31183,19942313,81
19900604,1716080867,45384,8990023,77
19900605,1716080879,88693,15248474,170
19900606,1716080891,74985,12659516,117
19900607,1716080903,156751,20090369,160
19900608,1716080915,180639,12513167,122
19900609,1716080927,56816,10896345,117
19900610,1716080939,97210,17651265,127
19900611,1716080951,36421,6937974,93
19900612,1716080963,217142,29995447,139
19900613,1716080975,144127,26210222,109
19900614,1716080987,44321,7693970,95
19900615,1716080999,43286,8546918,90
19900616,1716081011,57737,10547003,111
19900617,1716081023,204866,28609776,116
19900618,1716081035,67561,14640620,158
19900619,1716081047,65284,26496522,115
19900620,1716081059,11053,2104917,34
19900621,1716081071,64447,14043272,132
19900622,1716081083,26073,5711620,77
19900623,1716081095,216700,29804419,118
19900624,1716081107,161762,12739957,117
19900625,1716081119,42813,22635355,95
19900626,1716081131,35978,5611518,64
19900627,1716081143,89661,14946018,141
19900628,1716081155,8078,1705278,10
19900629,1716081167,208896,29956925,140
19900630,1716081179,105909,19713104,176
19900631,1716081191,35667,7078154,76
19900632,1716081203,161620,28588067,151
19900633,1716081215,16752,2816324,56
19900634,1716081227,54017,11073792,121
19900635,1716081239,32413,29992776,89
19900636,1716081251,38958,7843125,83
19900637,1716081263,98113,20612216,191
19900638,1716081275,40902,8020459,84
19900639,1716081287,35451,6755564,91
19900640,1716081299,192235,27786647,76
19900641,1716081311,68643,11778369,126
19900642,1716081323,74993,17403814,168
19900643,1716081335,165988,9662844,96
19900644,1716081347,37546,8069951,90
19900645,1716081359,8976,1244022,22
19900646,1716081371,201725,29986332,193
19900647,1716081383,211812,29986390,101
19900648,1716081395,71100,13629922,140
19900649,1716081419,131315,22629228,221
19900650,1716081431,159155,14156087,143
19900651,1716081443,33933,7690470,90
19900652,1716081455,52239,8881431,118
19900653,1716081467,45293,7348723,88
19900654,1716081479,222871,29990591,83
19900655,1716081491,53259,11570762,115
19900656,1716081503,96733,18635566,173
19900657,1716081515,38829,7300580,101
19900658,1716081527,210462,29355860,129
19900659,1716081539,135253,9318636,91
19900660,1716081551,55892,11847171,123
19900661,1716081563,30556,5971334,77
19900662,1716081575,205277,29997474,120
19900663,1716081587,63174,12316252,128
19900664,1716081599,1190,0,0
19900665,1716081611,210850,29990921,133
19900666,1716081623,197135,16388025,158
19900667,1716081635,178151,28412574,146
19900668,1716081647,42839,9697988,97
19900669,1716081659,47206,9577655,180
19900670,1716081671,62237,26883233,120
19900671,1716081683,49952,9995237,104
19900672,1716081695,45009,8379631,100
19900673,1716081707,38158,7501740,90
19900674,1716081719,214284,29990231,102
